"","subject","rt","Happy","Calm","Sad","AngryStressful","Familiar","title","Condition","Track_ID"
"381",16,14670,3,7,7,3,3,"silentMoon","Melody",26
"382",16,11885,6,7,6,2,5,"dream","Lyrics",11
"383",16,16573,5,7,6,3,1,"onMusic","Lyrics",1
"384",16,18066,6,4,6,7,5,"takeYouAb","Melody",20
"385",17,48312,5,4,5,1,3,"takeYouAb","Melody",20
"386",17,20389,5,6,5,6,2,"bambi","Melody",24
"387",17,19149,3,3,9,7,1,"everyTimeWeSayGoodbye","Lyrics",7
"388",17,15623,2,2,5,9,1,"noMoreMissNice","Melody",32
"389",17,16022,5,9,5,5,7,"willowSong","Melody",22
"390",17,14130,1,1,7,9,2,"toThisWeveCome","Lyrics",13
"391",17,15140,1,1,5,9,1,"owlAPussyCat","Melody",18
"392",17,17783,5,7,5,5,3,"goognightMoon","Lyrics",9
"393",17,28052,5,2,5,8,1,"theCage","Melody",30
"394",17,32180,7,5,1,1,7,"dancinInTheMoonlightC","Lyrics",3
"395",17,17877,1,1,8,9,8,"theCrucifixion","Lyrics",5
"396",17,23722,5,7,2,3,7,"onMusic","Lyrics",1
"397",17,13724,6,9,1,1,7,"silentMoon","Melody",26
"398",17,19458,3,4,7,5,6,"iWishYouLove","Melody",28
"399",17,15253,9,8,1,1,6,"dream","Lyrics",11
"400",17,21130,5,5,6,1,7,"everyTimeWeSayGoodbye","Melody",23
"401",17,18254,9,1,6,9,5,"bambi","Lyrics",8
"402",17,26479,3,6,7,4,5,"willowSong","Lyrics",6
"403",17,12896,9,9,7,1,6,"iWishYouLove","Lyrics",12
"404",17,28503,1,1,7,9,6,"dancinInTheMoonlightC","Melody",19
"405",17,19361,6,3,7,8,7,"thatsAll","Lyrics",15
"406",17,19367,5,4,7,5,7,"dream","Melody",27
"407",17,20943,1,1,8,9,3,"toThisWeveCome","Melody",29
"408",17,23396,9,6,1,1,3,"takeYouAb","Lyrics",4
"409",17,17748,1,6,9,5,4,"goognightMoon","Melody",25
"410",17,20832,6,2,6,6,8,"noMoreMissNice","Lyrics",16
"411",17,14620,8,9,1,1,8,"silentMoon","Lyrics",10
